simulation_name,run_number,prosumers,perfect_forecasting,exchange_type,amm_liquidity_k,Total Overproduction,Total Shortfall,Total Bought,Total Bought Expenditure,Total Over Bought,Total Under Bought,Total Sold,Total Sold Revenue,Total Daytime Demand,Total Production,Total Production for Demand,Total Production for Market,Total Production for Utility,Running Energy Sold,Running Actual Production,Seller Average Price,Proportion of Total Production Sold into Market,Proportion of Excess Sold into Market,Total System Demand,Total System Production
prosumer5_bilateral_kNone,1,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,2,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,3,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,4,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,5,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,6,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,7,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,8,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,9,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
prosumer5_bilateral_kNone,10,5,False,bilateral,,85.12358958145074,412.09804253756835,635.2133747917328,199.67557673445634,0.0,0.0,635.2133747917323,199.6755767344568,11107.135891840582,1750.5263632957347,1347.845175613125,317.5575981011582,85.12358958145074,635.2133747917327,1750.5263632957217,0.15635863874124745,0.18140692123213106,0.7886079802452935,20436.90364299364,1750.5263632957353
